127.0.0.1 - - [29/Mar/2024:08:28:30 -0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Mar/2024:08:28:33 -0500] "GET /JSTLApp-04/ HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [29/Mar/2024:08:30:58 -0500] "GET /JSTLApp-04/ HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [29/Mar/2024:08:32:05 -0500] "GET /JSTLApp-04/ HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [29/Mar/2024:08:35:29 -0500] "GET /JSTLApp-04/ HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [29/Mar/2024:08:36:22 -0500] "GET /JSTLApp-04/ HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [29/Mar/2024:08:37:12 -0500] "GET /JSTLApp-04/ HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [29/Mar/2024:09:15:28 -0500] "GET /JSTLApp-04/ HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [29/Mar/2024:09:16:00 -0500] "GET /JSTLApp-04/ HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [29/Mar/2024:09:16:10 -0500] "GET /JSTLApp-04/ HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [29/Mar/2024:09:16:21 -0500] "GET /JSTLApp-04/ HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [29/Mar/2024:09:16:22 -0500] "GET /JSTLApp-04/ HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [29/Mar/2024:09:16:23 -0500] "GET /JSTLApp-04/ HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [29/Mar/2024:09:16:23 -0500] "GET /JSTLApp-04/ HTTP/1.1" 200 615
